optimizer,hidden_neurons,learning_rate,test_loss,test_accuracy
Adam,4,0.0001,39.69775390625,0.20665083825588226
RProp,4,0.0001,1.0986062288284302,0.3444180488586426
Adam,4,0.001,1.4293681383132935,0.31828978657722473
RProp,4,0.001,1.0986443758010864,0.31591448187828064
Adam,4,0.01,1.099664330482483,0.31591448187828064
RProp,4,0.01,1.0985459089279175,0.3444180488586426
Adam,4,0.1,1.1014329195022583,0.3444180488586426
RProp,4,0.1,1.1002527475357056,0.3396674692630768
Adam,8,0.0001,658.02197265625,0.3396674692630768
RProp,8,0.0001,1.1013007164001465,0.3729216158390045
Adam,8,0.001,1.0992412567138672,0.31591448187828064
RProp,8,0.001,1.880581259727478,0.40855106711387634
Adam,8,0.01,1.099448561668396,0.31591448187828064
RProp,8,0.01,1.102056860923767,0.31591448187828064
Adam,8,0.1,1.1148350238800049,0.31591448187828064
RProp,8,0.1,1.0986835956573486,0.3444180488586426
Adam,16,0.0001,98.83394622802734,0.25653207302093506
RProp,16,0.0001,55.70726776123047,0.45368170738220215
Adam,16,0.001,1.0924392938613892,0.4180522561073303
RProp,16,0.001,2.1260452270507812,0.34679335355758667
Adam,16,0.01,1.0690457820892334,0.3895486891269684
RProp,16,0.01,3.2737605571746826,0.35866984724998474
Adam,16,0.1,1.1014666557312012,0.31591448187828064
RProp,16,0.1,5.809822082519531,0.5368170738220215
Adam,32,0.0001,364.7801818847656,0.31591448187828064
RProp,32,0.0001,8.885076522827148,0.4869358539581299
Adam,32,0.001,1.1015547513961792,0.3396674692630768
RProp,32,0.001,69.13831329345703,0.4346793293952942
Adam,32,0.01,1.0970628261566162,0.3444180488586426
RProp,32,0.01,87.95185089111328,0.44655582308769226
Adam,32,0.1,1.0992310047149658,0.3444180488586426
RProp,32,0.1,4.343234062194824,0.44655582308769226
Adam,64,0.0001,33.975067138671875,0.3396674692630768
RProp,64,0.0001,258.9856872558594,0.3444180488586426
Adam,64,0.001,1.0992354154586792,0.31591448187828064
RProp,64,0.001,181.04275512695312,0.44893112778663635
Adam,64,0.01,1.1011453866958618,0.31591448187828064
RProp,64,0.01,130.55340576171875,0.3301662802696228
Adam,64,0.1,1.1077088117599487,0.31591448187828064
RProp,64,0.1,1.0983449220657349,0.3444180488586426
Adam,128,0.0001,1.0984444618225098,0.3396674692630768
RProp,128,0.0001,542.0641479492188,0.3396674692630768
Adam,128,0.001,1.0992838144302368,0.31591448187828064
RProp,128,0.001,209.5080108642578,0.30878859758377075
Adam,128,0.01,1.0991922616958618,0.31591448187828064
RProp,128,0.01,10.960991859436035,0.5249406099319458
Adam,128,0.1,1.0983327627182007,0.3444180488586426
RProp,128,0.1,1.0995056629180908,0.3396674692630768
