optimizer,hidden_neurons_1,hidden_neurons_2,learning_rate,test_loss,test_accuracy
Adam,4,4,0.0001,2.189255475997925,0.31116390228271484
RProp,4,4,0.0001,1.3494709730148315,0.36342042684555054
Adam,4,4,0.001,1.1204049587249756,0.31591448187828064
RProp,4,4,0.001,1.0997631549835205,0.3396674692630768
Adam,4,4,0.01,1.0995430946350098,0.31591448187828064
RProp,4,4,0.01,1.0987154245376587,0.31591448187828064
Adam,4,4,0.1,1.1044988632202148,0.31591448187828064
RProp,4,4,0.1,1.098280906677246,0.3396674692630768
Adam,4,8,0.0001,4345.642578125,0.3396674692630768
RProp,4,8,0.0001,1.0986125469207764,0.3396674692630768
Adam,4,8,0.001,1.2469236850738525,0.3277909755706787
RProp,4,8,0.001,1.0986069440841675,0.3444180488586426
Adam,4,8,0.01,1.0994713306427002,0.31591448187828064
RProp,4,8,0.01,1.080631971359253,0.3325415551662445
Adam,4,8,0.1,1.1128422021865845,0.3396674692630768
RProp,4,8,0.1,1.1004838943481445,0.3444180488586426
Adam,4,16,0.0001,330.134033203125,0.3396674692630768
RProp,4,16,0.0001,1.0985219478607178,0.3444180488586426
Adam,4,16,0.001,1.1006313562393188,0.31828978657722473
RProp,4,16,0.001,1.1017804145812988,0.31591448187828064
Adam,4,16,0.01,1.0989561080932617,0.31591448187828064
RProp,4,16,0.01,1.10050368309021,0.31591448187828064
Adam,4,16,0.1,1.098854660987854,0.3396674692630768
RProp,4,16,0.1,1.0987409353256226,0.3444180488586426
Adam,4,32,0.0001,2.7283549308776855,0.4394299387931824
RProp,4,32,0.0001,1.1029784679412842,0.31828978657722473
Adam,4,32,0.001,1.0389575958251953,0.4275534451007843
RProp,4,32,0.001,1.0997648239135742,0.31591448187828064
Adam,4,32,0.01,1.099862813949585,0.31591448187828064
RProp,4,32,0.01,1.0986580848693848,0.3444180488586426
Adam,4,32,0.1,1.1007440090179443,0.3396674692630768
RProp,4,32,0.1,1.2026875019073486,0.3206650912761688
Adam,4,64,0.0001,57.7028923034668,0.3444180488586426
RProp,4,64,0.0001,1.0809262990951538,0.35629454255104065
Adam,4,64,0.001,1.3465149402618408,0.3396674692630768
RProp,4,64,0.001,1.098727822303772,0.31591448187828064
Adam,4,64,0.01,1.0993601083755493,0.31591448187828064
RProp,4,64,0.01,1.0985573530197144,0.3444180488586426
Adam,4,64,0.1,1.099382758140564,0.3396674692630768
RProp,4,64,0.1,1.0979174375534058,0.3444180488586426
Adam,4,128,0.0001,73.87227630615234,0.3729216158390045
RProp,4,128,0.0001,1.1011810302734375,0.31591448187828064
Adam,4,128,0.001,1.09927499294281,0.31591448187828064
RProp,4,128,0.001,1.0998846292495728,0.31591448187828064
Adam,4,128,0.01,1.0993250608444214,0.31591448187828064
RProp,4,128,0.01,1.0986485481262207,0.31591448187828064
Adam,4,128,0.1,1.1077238321304321,0.3396674692630768
RProp,4,128,0.1,1.2080132961273193,0.3396674692630768
Adam,8,4,0.0001,1100.0489501953125,0.3444180488586426
RProp,8,4,0.0001,1.1237092018127441,0.31591448187828064
Adam,8,4,0.001,1.099333643913269,0.31591448187828064
RProp,8,4,0.001,1.8805899620056152,0.3824228048324585
Adam,8,4,0.01,1.1003097295761108,0.31591448187828064
RProp,8,4,0.01,1.098098635673523,0.3444180488586426
Adam,8,4,0.1,1.1005951166152954,0.3396674692630768
RProp,8,4,0.1,1.10233736038208,0.3396674692630768
Adam,8,8,0.0001,411.74371337890625,0.3396674692630768
RProp,8,8,0.0001,1.101457118988037,0.3444180488586426
Adam,8,8,0.001,1.2319926023483276,0.31828978657722473
RProp,8,8,0.001,1.1016868352890015,0.3396674692630768
Adam,8,8,0.01,1.0989478826522827,0.3396674692630768
RProp,8,8,0.01,1.0992555618286133,0.3444180488586426
Adam,8,8,0.1,1.1025919914245605,0.31591448187828064
RProp,8,8,0.1,1.098169207572937,0.3396674692630768
Adam,8,16,0.0001,720.49169921875,0.31591448187828064
RProp,8,16,0.0001,1.0986223220825195,0.31591448187828064
Adam,8,16,0.001,1.099686622619629,0.31591448187828064
RProp,8,16,0.001,1.0988965034484863,0.3444180488586426
Adam,8,16,0.01,1.0998461246490479,0.31591448187828064
RProp,8,16,0.01,1.16048002243042,0.3800475001335144
Adam,8,16,0.1,1.1005945205688477,0.31591448187828064
RProp,8,16,0.1,1.098520040512085,0.3396674692630768
Adam,8,32,0.0001,504.2162780761719,0.31591448187828064
RProp,8,32,0.0001,1.0985251665115356,0.3396674692630768
Adam,8,32,0.001,1.0995498895645142,0.31591448187828064
RProp,8,32,0.001,1.0986590385437012,0.31591448187828064
Adam,8,32,0.01,1.0992720127105713,0.31591448187828064
RProp,8,32,0.01,1.0980714559555054,0.3444180488586426
Adam,8,32,0.1,1.0995593070983887,0.3444180488586426
RProp,8,32,0.1,1.1024101972579956,0.31591448187828064
Adam,8,64,0.0001,45.292266845703125,0.3372921645641327
RProp,8,64,0.0001,2.0126171112060547,0.3349168598651886
Adam,8,64,0.001,2.0327327251434326,0.3301662802696228
RProp,8,64,0.001,1.1010915040969849,0.31591448187828064
Adam,8,64,0.01,1.099434733390808,0.31591448187828064
RProp,8,64,0.01,1.1016267538070679,0.31591448187828064
Adam,8,64,0.1,1.1015856266021729,0.3444180488586426
RProp,8,64,0.1,1.2015300989151,0.3824228048324585
Adam,8,128,0.0001,1.6290724277496338,0.45605701208114624
RProp,8,128,0.0001,2.2906618118286133,0.45368170738220215
Adam,8,128,0.001,3.8620262145996094,0.3444180488586426
RProp,8,128,0.001,1.1512465476989746,0.3895486891269684
Adam,8,128,0.01,1.0992861986160278,0.31591448187828064
RProp,8,128,0.01,1.080734133720398,0.3444180488586426
Adam,8,128,0.1,1.1022026538848877,0.31591448187828064
RProp,8,128,0.1,1.0991779565811157,0.3396674692630768
Adam,16,4,0.0001,1.102156162261963,0.31591448187828064
RProp,16,4,0.0001,1.101676106452942,0.3396674692630768
Adam,16,4,0.001,1.099297046661377,0.31591448187828064
RProp,16,4,0.001,1.0984692573547363,0.3396674692630768
Adam,16,4,0.01,1.0993497371673584,0.31591448187828064
RProp,16,4,0.01,1.1024543046951294,0.3444180488586426
Adam,16,4,0.1,1.1078693866729736,0.3444180488586426
RProp,16,4,0.1,1.1017088890075684,0.31591448187828064
Adam,16,8,0.0001,1050.926025390625,0.31591448187828064
RProp,16,8,0.0001,1.0985689163208008,0.3444180488586426
Adam,16,8,0.001,1.0771340131759644,0.4228028357028961
RProp,16,8,0.001,1.1020563840866089,0.31591448187828064
Adam,16,8,0.01,1.0986863374710083,0.31591448187828064
RProp,16,8,0.01,1.100090742111206,0.3396674692630768
Adam,16,8,0.1,1.0984879732131958,0.3444180488586426
RProp,16,8,0.1,1.0988187789916992,0.3396674692630768
Adam,16,16,0.0001,77.54811096191406,0.31591448187828064
RProp,16,16,0.0001,4.790642738342285,0.3254156708717346
Adam,16,16,0.001,1.1163513660430908,0.31828978657722473
RProp,16,16,0.001,1.1269581317901611,0.3372921645641327
Adam,16,16,0.01,1.0993449687957764,0.31591448187828064
RProp,16,16,0.01,1.0985045433044434,0.3444180488586426
Adam,16,16,0.1,1.0994435548782349,0.3396674692630768
RProp,16,16,0.1,1.1023868322372437,0.31591448187828064
Adam,16,32,0.0001,271.5516662597656,0.3444180488586426
RProp,16,32,0.0001,13.697157859802246,0.4275534451007843
Adam,16,32,0.001,1.0990171432495117,0.3230403661727905
RProp,16,32,0.001,1.276829719543457,0.31828978657722473
Adam,16,32,0.01,1.0992162227630615,0.31591448187828064
RProp,16,32,0.01,1.8760523796081543,0.4275534451007843
Adam,16,32,0.1,1.1026945114135742,0.3396674692630768
RProp,16,32,0.1,2.454448938369751,0.5605700612068176
Adam,16,64,0.0001,136.0630645751953,0.31353920698165894
RProp,16,64,0.0001,11.906529426574707,0.44418051838874817
Adam,16,64,0.001,1.089721918106079,0.3230403661727905
RProp,16,64,0.001,3.228394031524658,0.40380048751831055
Adam,16,64,0.01,1.0990040302276611,0.31591448187828064
RProp,16,64,0.01,1.2152104377746582,0.3396674692630768
Adam,16,64,0.1,1.1033705472946167,0.31591448187828064
RProp,16,64,0.1,1.3476852178573608,0.41567695140838623
Adam,16,128,0.0001,159.2887420654297,0.3301662802696228
RProp,16,128,0.0001,2.67378568649292,0.3420427441596985
Adam,16,128,0.001,0.9766600131988525,0.529691219329834
RProp,16,128,0.001,2.83579421043396,0.40380048751831055
Adam,16,128,0.01,1.0991089344024658,0.31591448187828064
RProp,16,128,0.01,1.0985673666000366,0.3396674692630768
Adam,16,128,0.1,1.099277138710022,0.3396674692630768
RProp,16,128,0.1,1.5269404649734497,0.40380048751831055
Adam,32,4,0.0001,1.1023238897323608,0.3396674692630768
RProp,32,4,0.0001,1.0986334085464478,0.31591448187828064
Adam,32,4,0.001,1.099220871925354,0.31591448187828064
RProp,32,4,0.001,1.0980455875396729,0.3396674692630768
Adam,32,4,0.01,1.0992212295532227,0.31591448187828064
RProp,32,4,0.01,1.0987681150436401,0.31591448187828064
Adam,32,4,0.1,1.0983381271362305,0.3444180488586426
RProp,32,4,0.1,1.1035387516021729,0.31591448187828064
Adam,32,8,0.0001,1.0985779762268066,0.3396674692630768
RProp,32,8,0.0001,1.0985766649246216,0.3444180488586426
Adam,32,8,0.001,1.0989230871200562,0.31591448187828064
RProp,32,8,0.001,1.1102173328399658,0.3444180488586426
Adam,32,8,0.01,1.099695086479187,0.31591448187828064
RProp,32,8,0.01,1.0979373455047607,0.3396674692630768
Adam,32,8,0.1,1.1023552417755127,0.31591448187828064
RProp,32,8,0.1,1.0979862213134766,0.3444180488586426
Adam,32,16,0.0001,514.2174682617188,0.2897862195968628
RProp,32,16,0.0001,1.1314910650253296,0.3396674692630768
Adam,32,16,0.001,1.0998789072036743,0.31591448187828064
RProp,32,16,0.001,1.099524974822998,0.3396674692630768
Adam,32,16,0.01,1.0994099378585815,0.31591448187828064
RProp,32,16,0.01,1.4302860498428345,0.3705463111400604
Adam,32,16,0.1,1.1063731908798218,0.3396674692630768
RProp,32,16,0.1,1.0988004207611084,0.3396674692630768
Adam,32,32,0.0001,213.85328674316406,0.3444180488586426
RProp,32,32,0.0001,118.55632781982422,0.3824228048324585
Adam,32,32,0.001,1.1010057926177979,0.3396674692630768
RProp,32,32,0.001,128.46644592285156,0.4346793293952942
Adam,32,32,0.01,1.1046286821365356,0.36104512214660645
RProp,32,32,0.01,1.2098145484924316,0.3444180488586426
Adam,32,32,0.1,1.1026040315628052,0.3396674692630768
RProp,32,32,0.1,1.7168805599212646,0.34679335355758667
Adam,32,64,0.0001,628.50341796875,0.3444180488586426
RProp,32,64,0.0001,250.2279510498047,0.4655582010746002
Adam,32,64,0.001,1.1079411506652832,0.30878859758377075
RProp,32,64,0.001,18.6508731842041,0.5320665240287781
Adam,32,64,0.01,1.0242513418197632,0.47980996966362
RProp,32,64,0.01,18.452898025512695,0.529691219329834
Adam,32,64,0.1,1.0996452569961548,0.3444180488586426
RProp,32,64,0.1,14.90345287322998,0.5415676832199097
Adam,32,128,0.0001,228.75498962402344,0.3349168598651886
RProp,32,128,0.0001,30.994739532470703,0.510688841342926
Adam,32,128,0.001,1.0865018367767334,0.36342042684555054
RProp,32,128,0.001,20.41983413696289,0.4845605790615082
Adam,32,128,0.01,1.0992681980133057,0.31591448187828064
RProp,32,128,0.01,4.901397705078125,0.4346793293952942
Adam,32,128,0.1,1.1001298427581787,0.31591448187828064
RProp,32,128,0.1,14.052221298217773,0.4869358539581299
Adam,64,4,0.0001,1.0979864597320557,0.3444180488586426
RProp,64,4,0.0001,1.0991413593292236,0.31591448187828064
Adam,64,4,0.001,1.0993245840072632,0.31591448187828064
RProp,64,4,0.001,1.101597547531128,0.31591448187828064
Adam,64,4,0.01,1.0988973379135132,0.31591448187828064
RProp,64,4,0.01,1.0984901189804077,0.3444180488586426
Adam,64,4,0.1,1.1027206182479858,0.3396674692630768
RProp,64,4,0.1,1.098235011100769,0.3444180488586426
Adam,64,8,0.0001,1.1007031202316284,0.3444180488586426
RProp,64,8,0.0001,1.1023719310760498,0.3444180488586426
Adam,64,8,0.001,1.0992765426635742,0.31591448187828064
RProp,64,8,0.001,1.0991579294204712,0.3444180488586426
Adam,64,8,0.01,1.0989322662353516,0.31591448187828064
RProp,64,8,0.01,1.1001408100128174,0.31591448187828064
Adam,64,8,0.1,1.1076740026474,0.31591448187828064
RProp,64,8,0.1,1.1029709577560425,0.3444180488586426
Adam,64,16,0.0001,1.0992892980575562,0.3396674692630768
RProp,64,16,0.0001,1.161705732345581,0.3396674692630768
Adam,64,16,0.001,1.0993090867996216,0.31591448187828064
RProp,64,16,0.001,1.0251491069793701,0.3277909755706787
Adam,64,16,0.01,1.0986874103546143,0.3396674692630768
RProp,64,16,0.01,1.0987300872802734,0.3396674692630768
Adam,64,16,0.1,1.1066603660583496,0.31591448187828064
RProp,64,16,0.1,1.0987030267715454,0.3444180488586426
Adam,64,32,0.0001,1.1003485918045044,0.3396674692630768
RProp,64,32,0.0001,595.875244140625,0.36342042684555054
Adam,64,32,0.001,1.099223017692566,0.31591448187828064
RProp,64,32,0.001,42.147552490234375,0.46080759167671204
Adam,64,32,0.01,1.0993189811706543,0.31591448187828064
RProp,64,32,0.01,93.6517333984375,0.5011876225471497
Adam,64,32,0.1,1.102361798286438,0.3444180488586426
RProp,64,32,0.1,1.09832763671875,0.3396674692630768
Adam,64,64,0.0001,24.796112060546875,0.3444180488586426
RProp,64,64,0.0001,167.11265563964844,0.45843231678009033
Adam,64,64,0.001,1.0957642793655396,0.3396674692630768
RProp,64,64,0.001,280.7940979003906,0.4228028357028961
Adam,64,64,0.01,1.0998395681381226,0.31591448187828064
RProp,64,64,0.01,364.4609680175781,0.35391923785209656
Adam,64,64,0.1,1.1073668003082275,0.31591448187828064
RProp,64,64,0.1,102.22063446044922,0.510688841342926
Adam,64,128,0.0001,33.33149719238281,0.4204275608062744
RProp,64,128,0.0001,162.5033721923828,0.4774346649646759
Adam,64,128,0.001,1.083412528038025,0.3277909755706787
RProp,64,128,0.001,871.7554931640625,0.49168646335601807
Adam,64,128,0.01,1.0997215509414673,0.31591448187828064
RProp,64,128,0.01,221.6631317138672,0.5059382319450378
Adam,64,128,0.1,1.1018167734146118,0.3444180488586426
RProp,64,128,0.1,60.19036102294922,0.5154394507408142
Adam,128,4,0.0001,1.1001852750778198,0.31591448187828064
RProp,128,4,0.0001,1.0986071825027466,0.3444180488586426
Adam,128,4,0.001,1.0992306470870972,0.31591448187828064
RProp,128,4,0.001,1.098347544670105,0.3396674692630768
Adam,128,4,0.01,1.0992709398269653,0.31591448187828064
RProp,128,4,0.01,1.0990625619888306,0.31591448187828064
Adam,128,4,0.1,1.0997995138168335,0.3396674692630768
RProp,128,4,0.1,1.0987836122512817,0.31591448187828064
Adam,128,8,0.0001,1.099097728729248,0.3396674692630768
RProp,128,8,0.0001,1.0993494987487793,0.31591448187828064
Adam,128,8,0.001,1.0993242263793945,0.31591448187828064
RProp,128,8,0.001,1.0985865592956543,0.3396674692630768
Adam,128,8,0.01,1.0995924472808838,0.31591448187828064
RProp,128,8,0.01,1.098395824432373,0.3444180488586426
Adam,128,8,0.1,1.1197171211242676,0.31591448187828064
RProp,128,8,0.1,1.0984834432601929,0.3396674692630768
Adam,128,16,0.0001,1.0997366905212402,0.3396674692630768
RProp,128,16,0.0001,1.0923047065734863,0.3752969205379486
Adam,128,16,0.001,1.0993038415908813,0.31591448187828064
RProp,128,16,0.001,1.0981640815734863,0.3396674692630768
Adam,128,16,0.01,1.0996112823486328,0.31591448187828064
RProp,128,16,0.01,1.0987035036087036,0.31591448187828064
Adam,128,16,0.1,1.1011860370635986,0.3444180488586426
RProp,128,16,0.1,1.0994905233383179,0.31591448187828064
Adam,128,32,0.0001,1.098314642906189,0.3444180488586426
RProp,128,32,0.0001,204.96539306640625,0.49168646335601807
Adam,128,32,0.001,1.0993192195892334,0.31591448187828064
RProp,128,32,0.001,92.8106918334961,0.4394299387931824
Adam,128,32,0.01,1.0992330312728882,0.31591448187828064
RProp,128,32,0.01,62.73637771606445,0.3444180488586426
Adam,128,32,0.1,1.0995501279830933,0.31591448187828064
RProp,128,32,0.1,1.0979740619659424,0.3444180488586426
Adam,128,64,0.0001,1.0983953475952148,0.3396674692630768
RProp,128,64,0.0001,190.21559143066406,0.4726840853691101
