optimizer,hidden_neurons_1,hidden_neurons_2,learning_rate,adam_test_accuracy,rprop_test_accuracy,hybrid_test_accuracy
Hybrid,16,16,0.0001,0.275534451007843,0.4275534451007843,0.32066508313539194
Hybrid,16,16,0.001,0.3396674692630768,0.5653206706047058,0.5700712589073634
Hybrid,16,16,0.01,0.31591448187828064,0.5486935973167419,0.37292161520190026
Hybrid,16,16,0.1,0.3444180488586426,0.31591448187828064,0.34441805225653205
Hybrid,16,32,0.0001,0.3396674692630768,0.3301662802696228,0.33966745843230406
Hybrid,16,32,0.001,0.3349168598651886,0.4228028357028961,0.4251781472684085
Hybrid,16,32,0.01,0.31591448187828064,0.34679335355758667,0.31353919239904987
Hybrid,16,32,0.1,0.31591448187828064,0.5320665240287781,0.5320665083135392
Hybrid,16,64,0.0001,0.35629454255104065,0.3444180488586426,0.39429928741092635
Hybrid,16,64,0.001,0.4251781404018402,0.31591448187828064,0.42042755344418054
Hybrid,16,64,0.01,0.31591448187828064,0.36342042684555054,0.36342042755344417
Hybrid,16,64,0.1,0.31591448187828064,0.41567695140838623,0.4156769596199525
Hybrid,16,128,0.0001,0.35866984724998474,0.5035629272460938,0.3990498812351544
Hybrid,16,128,0.001,0.3230403661727905,0.3444180488586426,0.3515439429928741
Hybrid,16,128,0.01,0.31591448187828064,0.5368170738220215,0.5368171021377672
Hybrid,16,128,0.1,0.3444180488586426,0.3800475001335144,0.34441805225653205
Hybrid,32,16,0.0001,0.31353920698165894,0.31591448187828064,0.31353919239904987
Hybrid,32,16,0.001,0.3396674692630768,0.31591448187828064,0.3159144893111639
Hybrid,32,16,0.01,0.31591448187828064,0.31591448187828064,0.3159144893111639
Hybrid,32,16,0.1,0.3444180488586426,0.3444180488586426,0.34441805225653205
Hybrid,32,32,0.0001,0.3396674692630768,0.3681710362434387,0.37054631828978624
Hybrid,32,32,0.001,0.39429929852485657,0.5249406099319458,0.5344418052256532
Hybrid,32,32,0.01,0.31591448187828064,0.5320665240287781,0.5320665083135392
Hybrid,32,32,0.1,0.31591448187828064,0.5463182926177979,0.5439429928741093
Hybrid,32,64,0.0001,0.4204275608062744,0.4821852743625641,0.45605700712589076
Hybrid,32,64,0.001,0.3396674692630768,0.5059382319450378,0.505938242280285
Hybrid,32,64,0.01,0.31591448187828064,0.4750593900680542,0.4750593824228028
Hybrid,32,64,0.1,0.3444180488586426,0.5463182926177979,0.5463182897862233
Hybrid,32,128,0.0001,0.5225653052330017,0.49406176805496216,0.501187648456057
Hybrid,32,128,0.001,0.3372921645641327,0.5391923785209656,0.5415676959619953
Hybrid,32,128,0.01,0.31591448187828064,0.5249406099319458,0.5249406175771971
Hybrid,32,128,0.1,0.3396674692630768,0.3847981095314026,0.3847980997624703
Hybrid,64,16,0.0001,0.31591448187828064,0.4750593900680542,0.4821852731591449
Hybrid,64,16,0.001,0.31591448187828064,0.3396674692630768,0.33966745843230406
Hybrid,64,16,0.01,0.3396674692630768,0.3396674692630768,0.33966745843230406
Hybrid,64,16,0.1,0.3396674692630768,0.3444180488586426,0.33966745843230406
Hybrid,64,32,0.0001,0.31591448187828064,0.4679335057735443,0.4750593824228028
Hybrid,64,32,0.001,0.31591448187828064,0.5653206706047058,0.5653206650831354
Hybrid,64,32,0.01,0.31591448187828064,0.3444180488586426,0.34441805225653205
Hybrid,64,32,0.1,0.31591448187828064,0.3444180488586426,0.3159144893111639
Hybrid,64,64,0.0001,0.3301662802696228,0.46080759167671204,0.4584323040380047
Hybrid,64,64,0.001,0.3396674692630768,0.3681710362434387,0.3681710213776722
Hybrid,64,64,0.01,0.31591448187828064,0.489311158657074,0.48931116389548696
Hybrid,64,64,0.1,0.31591448187828064,0.44893112778663635,0.4489311163895487
Hybrid,64,128,0.0001,0.489311158657074,0.510688841342926,0.505938242280285
Hybrid,64,128,0.001,0.3396674692630768,0.2921615242958069,0.2921615201900237
Hybrid,64,128,0.01,0.31591448187828064,0.49643704295158386,0.49643705463182897
Hybrid,64,128,0.1,0.31591448187828064,0.5819477438926697,0.5819477434679335
Hybrid,128,16,0.0001,0.3444180488586426,0.3396674692630768,0.34441805225653205
Hybrid,128,16,0.001,0.31591448187828064,0.31591448187828064,0.3159144893111639
Hybrid,128,16,0.01,0.31591448187828064,0.3444180488586426,0.3159144893111639
Hybrid,128,16,0.1,0.3396674692630768,0.3444180488586426,0.33966745843230406
Hybrid,128,32,0.0001,0.3396674692630768,0.35391923785209656,0.35391923990498814
Hybrid,128,32,0.001,0.31591448187828064,0.3254156708717346,0.3254156769596199
Hybrid,128,32,0.01,0.31591448187828064,0.4655582010746002,0.4655581947743468
Hybrid,128,32,0.1,0.31591448187828064,0.3396674692630768,0.3159144893111639
Hybrid,128,64,0.0001,0.3444180488586426,0.5558194518089294,0.5534441805225653
Hybrid,128,64,0.001,0.31591448187828064,0.3396674692630768,0.33966745843230406
Hybrid,128,64,0.01,0.31591448187828064,0.510688841342926,0.5106888361045131
Hybrid,128,64,0.1,0.31591448187828064,0.3444180488586426,0.3159144893111639
Hybrid,128,128,0.0001,0.3752969205379486,0.3396674692630768,0.33966745843230406
Hybrid,128,128,0.001,0.31591448187828064,0.5083135366439819,0.5083135391923991
Hybrid,128,128,0.01,0.31591448187828064,0.3444180488586426,0.34441805225653205
Hybrid,128,128,0.1,0.31591448187828064,0.45368170738220215,0.45368171021377673
